record_no,record_id,level,filename,template_path,record_title,stage,gate,mode,requiredness,route_scope,counterpart,purpose,when_to_use,do_not_use_as,completion_test,controlled_values,book_anchor,predecessor_records,successor_or_handoff,data_sensitivity,semantic_status
34,FULL-GATE_RECORD_FULL,full,GATE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,Gate Record — Full,Cross-cutting,Relevant gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,GATE_RECORD_MIN.csv,"Record a complete gate disposition, including the strongest objection, unresolved authority, conditions and earliest return gate.",Use for every consequential gate decision or when a minimum gate row cannot preserve the review basis.,"Do not treat form completion as evidence, authority, approval or gate passage.","The decision is supported by named authoritative objects, unresolved authority is explicit and the return route is executable.",,"1.8 Build your Project Start Pack; 2.7 Continue, narrow, pivot or stop; 2.8 Build the one-page proposal and pass the Problem Gate; 3.8 Build the Evidence Base Pack and pass the Evidence Gate; 4.8 Assemble the Approved Project Protocol and pass the Design Gate; 5.8 Assemble the Execution Dossier and pass the Execution Gate; 6.8 Assemble the Evaluation and Claim Dossier and pass the Claim Gate; 7.8 Assemble the coherent manuscript and pass the Argument Gate",Project Start Pack / opening control,Evidence Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
35,FULL-MILESTONE_EVIDENCE_REGISTER_FULL,full,MILESTONE_EVIDENCE_REGISTER_FULL.csv,companion/04_TEMPLATES_FULL/MILESTONE_EVIDENCE_REGISTER_FULL.csv,Milestone Evidence Register — Full,Cross-cutting,All gates,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,"Map each milestone or gate to its required scientific, administrative or release record, current version, retained proof and missing-condition response.","Use when several records, authorities or dates must be controlled across the project lifecycle.","Do not treat form completion as evidence, authority, approval or gate passage.","Every milestone has an owner, accepted version, retained evidence, storage boundary and explicit response to missing or stale objects.",,3.8 Build the Evidence Base Pack and pass the Evidence Gate; 4.8 Assemble the Approved Project Protocol and pass the Design Gate; 5.8 Assemble the Execution Dossier and pass the Execution Gate; 8.8 Assemble the Editorial Closure Dossier and pass the Editorial Gate,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
36,FULL-MOCK_DEFENCE_AND_RECOVERY_RECORD_FULL,full,MOCK_DEFENCE_AND_RECOVERY_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/MOCK_DEFENCE_AND_RECOVERY_RECORD_FULL.csv,Mock Defence And Recovery Record — Full,Submit and defend,Defence Readiness Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes; adapt evidence and demonstration to the selected route,,"Record unseen-question, evidence-retrieval, failure, fallback and incident tests and the recovery action they require.",Use for independent rehearsals and any retest after a blocking defence defect.,"Do not treat form completion as evidence, authority, approval or gate passage.","The tested person can retrieve evidence, state limits, recover safely and identify the earliest gate responsible for failure.",,"9.7 Run a blind navigation, failure and mock-defence test",Editorial Gate,"Defence, closeout and controlled release decision",may reference restricted administrative objects; store only safe identifiers and segregated locators,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
37,FULL-PACKAGE_CONSISTENCY_RECORD_FULL,full,PACKAGE_CONSISTENCY_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/PACKAGE_CONSISTENCY_RECORD_FULL.csv,Package Consistency Record — Full,Submit and defend,Defence Readiness Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes; adapt evidence and demonstration to the selected route,,"Test scientific-content identity across the authoritative source, official artefacts, evidence package, slides, demonstration and public-release candidate.","Use before submission freeze, examination-copy production, defence rehearsal or external release.","Do not treat form completion as evidence, authority, approval or gate passage.","No interface changes the question, corpus, release, result, uncertainty, conclusion, rights or disclosure state.",,9.1 The defence that exposed four incompatible records; 9.3 Build one assessable record across controlled interfaces,Editorial Gate,"Defence, closeout and controlled release decision",may reference restricted administrative objects; store only safe identifiers and segregated locators,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
38,FULL-PRESENTATION_SPINE_RECORD_FULL,full,PRESENTATION_SPINE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/PRESENTATION_SPINE_RECORD_FULL.csv,Presentation Spine Record — Full,Submit and defend,Defence Readiness Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes; adapt evidence and demonstration to the selected route,,"Compress the accepted argument into a timed, accessible and claim-bounded presentation without restoring rejected wording.",Use when building or revising the defence presentation.,"Do not treat form completion as evidence, authority, approval or gate passage.","Every block has a purpose, evidence anchor, boundary, source location, time budget and rehearsal result.",,9.5 Build a claim-led presentation with a compressible spine,Editorial Gate,"Defence, closeout and controlled release decision","controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
39,FULL-PROJECT_START_PACK_FULL,full,PROJECT_START_PACK_FULL.csv,companion/04_TEMPLATES_FULL/PROJECT_START_PACK_FULL.csv,Project Start Pack - Full,Orient,Project Start Pack,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,PROJECT_START_PACK_MIN.csv,"Establish the product, route, access, authority, workspace and first controlled deliverable.",Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","A reviewer can identify the project, inspect access and risk, then authorise one bounded next action.",,"1.4 Bachelor’s and master’s work: the same evidential spine, different expectations; 1.8 Build your Project Start Pack",Project identity and authority evidence,Problem Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
40,FULL-RISK_ASSUMPTION_REGISTER_FULL,full,RISK_ASSUMPTION_REGISTER_FULL.csv,companion/04_TEMPLATES_FULL/RISK_ASSUMPTION_REGISTER_FULL.csv,Risk and Assumption Register - Full,Plan,Design Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,"Make consequential assumptions, risks, mitigations and reopening triggers inspectable.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","Every high-impact item has an owner, test or mitigation and a decision consequence.",,4.4 Plan a proportionate software artefact,Project Start Pack / opening control,Evidence Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
41,FULL-ROUTE_SELECTOR_FULL,full,ROUTE_SELECTOR_FULL.csv,companion/04_TEMPLATES_FULL/ROUTE_SELECTOR_FULL.csv,Route Selector - Full,Orient,Project Start Pack,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,ROUTE_SELECTOR_MIN.csv,Select a dominant route through evidence obligations rather than topic vocabulary.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The route, unit, comparison, evidence body, uncertainty and forbidden inference are mutually compatible.",Routes: build-and-evaluate; algorithmic or simulation study; predictive or machine-learning study; quantitative empirical study; qualitative inquiry; case study; formal evidence synthesis; hybrid route,"1.2 What are you actually preparing?; 1.4 Bachelor’s and master’s work: the same evidential spine, different expectations",Project identity and authority evidence,Problem Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
42,FULL-SCOPE_CANVAS_FULL,full,SCOPE_CANVAS_FULL.csv,companion/04_TEMPLATES_FULL/SCOPE_CANVAS_FULL.csv,SCOPE Canvas - Full,Choose,Problem Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,SCOPE_CANVAS_MIN.csv,"Externalise scope, evidence, boundaries and uncertainty before commitment.",Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The question, route, evidence, contribution and reopening triggers form a coherent contract.",,"2.2 Choose for sustained interest, not technological comfort; 2.3 Separate the topic from the problem and the solution; 2.4 Use the SCOPE framing canvas; 2.5 Formulate the question and a provisional contribution; 2.8 Build the one-page proposal and pass the Problem Gate",Project Start Pack / opening control,Evidence Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
43,FULL-SEARCH_STRATEGY_RECORD_FULL,full,SEARCH_STRATEGY_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/SEARCH_STRATEGY_RECORD_FULL.csv,Search Strategy Record - Full,Search,Evidence Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all routes; formal evidence synthesis requires the fullest protocol-led use,,"Make discovery routes, dates, strings and limits inspectable.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.",A third party can reconstruct the search sufficiently to understand the corpus boundary.,,3.1 The bibliography that passed APA and failed the question; 3.2 Choose the right literature task,Problem Gate,Design Gate,bibliographic and source metadata only; do not redistribute restricted full texts,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
44,FULL-SECTION_CONTRACT_REGISTER_FULL,full,SECTION_CONTRACT_REGISTER_FULL.csv,companion/04_TEMPLATES_FULL/SECTION_CONTRACT_REGISTER_FULL.csv,Section Contract Register - Full,Write,Argument Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,"Assign each manuscript section an intellectual function, evidence set and boundary.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.",No section exists only because a conventional heading was expected.,,"7.3 Write the introduction and state of the art as a problem-to-position sequence; 7.4 Write methodology, architecture and implementation as the route that actually produced the evidence",Claim Gate,Editorial Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
45,FULL-SIMILARITY_AI_AUTHORSHIP_RECORD_FULL,full,SIMILARITY_AI_AUTHORSHIP_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/SIMILARITY_AI_AUTHORSHIP_RECORD_FULL.csv,"Similarity, AI and Authorship Record - Full",Close,Editorial Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,"Separate similarity, attribution, text recycling, AI disclosure and oral ownership.",Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.",No detector or score is used as a substitute for source verification or authorship responsibility.,,8.6 Prepare ethically for similarity and authorship review,Argument Gate,Defence Readiness Gate,"do not paste confidential prompts, participant data, credentials or restricted source content",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
46,FULL-SOURCE_RIGHTS_ATTRIBUTION_RECORD_FULL,full,SOURCE_RIGHTS_ATTRIBUTION_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/SOURCE_RIGHTS_ATTRIBUTION_RECORD_FULL.csv,"Source, Rights and Attribution Record - Full",Close,Editorial Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,"Verify source identity, claim fitness, attribution and rights bidirectionally.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","Every load-bearing source and reused object has a defensible identity, use and rights status.",,"4.6 Treat authority, ethics, data, security and licences as design inputs; 8.4 Verify citations, sources, rights and attribution bidirectionally",Argument Gate,Defence Readiness Gate,bibliographic and source metadata only; do not redistribute restricted full texts,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
47,FULL-SUBMISSION_PACKAGE_MANIFEST_FULL,full,SUBMISSION_PACKAGE_MANIFEST_FULL.csv,companion/04_TEMPLATES_FULL/SUBMISSION_PACKAGE_MANIFEST_FULL.csv,Submission Package Manifest - Full,Submit and defend,Defence Readiness Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes; adapt evidence and demonstration to the selected route,,"Separate institutional submission objects, private evidence and unpublished release candidates.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","Every file has a role, version, hash, rights status and destination; no private object is published accidentally.",,9.3 Build one assessable record across controlled interfaces,Editorial Gate,"Defence, closeout and controlled release decision",may reference restricted administrative objects; store only safe identifiers and segregated locators,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
48,FULL-SYNTHESIS_MEMO_FULL,full,SYNTHESIS_MEMO_FULL.csv,companion/04_TEMPLATES_FULL/SYNTHESIS_MEMO_FULL.csv,Synthesis Memo - Full,Search,Evidence Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all routes; formal evidence synthesis requires the fullest protocol-led use,,"Convert source notes into a bounded pattern, contradiction or uncertainty.",Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The memo states the evidence base, synthesis logic, counter-evidence and consequence for the project.",,"3.7 Synthesise patterns, contradictions and the bounded gap",Problem Gate,Design Gate,bibliographic and source metadata only; do not redistribute restricted full texts,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
49,FULL-TRACE_RECORD_FULL,full,TRACE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/TRACE_RECORD_FULL.csv,TRACE Record - Full,Cross-cutting,All gates,ledger,conditional: consequential generative AI use,all routes when generative AI use is consequential; otherwise not required,TRACE_RECORD_MIN.csv,"Record consequential AI use from task to verification, disposition and disclosure.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.",No AI output is treated as evidence or authority and the student retains semantic responsibility.,,"6.7 Use AI as an adversary, never as a certifier; 7.7 Use AI to diagnose and revise without surrendering authorship",Consequential generative AI use under a permitted task,"Independent verification, disposition and disclosure mapping","do not paste confidential prompts, participant data, credentials or restricted source content",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
50,FULL-UNCERTAINTY_COUNTER_EVIDENCE_RECORD_FULL,full,UNCERTAINTY_COUNTER_EVIDENCE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/UNCERTAINTY_COUNTER_EVIDENCE_RECORD_FULL.csv,Uncertainty and Counter-Evidence Record - Full,Evaluate,Claim Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,Preserve uncertainty and evidence that resists the preferred interpretation.,Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","Negative, null-compatible, inconclusive and invalid results are distinguished and have a disposition.",,"6.5 Interpret magnitude, uncertainty and counter-evidence; 7.6 Write discussion, limitations and conclusions as the bounded answer",Execution Gate,Argument Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
51,FULL-VERSION_MANIFEST_RECORD_FULL,full,VERSION_MANIFEST_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/VERSION_MANIFEST_RECORD_FULL.csv,Version and Manifest Record - Full,Cross-cutting,All closure gates,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,VERSION_MANIFEST_RECORD_MIN.csv,"Preserve provenance, supersession and derivative identity for every controlled package.",Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","A third party can identify the source of truth, its derivatives and the status of rights, privacy and proof.",,"4.2 Treat design as a versioned argument; 5.3 Freeze the starting state before consequential action; 5.7 Preserve lineage, deviations and recovery",,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
52,FULL-WORK_UNIT_BRIEF_FULL,full,WORK_UNIT_BRIEF_FULL.csv,companion/04_TEMPLATES_FULL/WORK_UNIT_BRIEF_FULL.csv,Work-Unit Brief - Full,Execute,Execution Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,Bound one authorised unit of execution and its admission criteria.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The unit has a known starting state, expected evidence, failure rule and disposition path.",,5.1 The successful run that proves too little; 5.2 Treat every output as a candidate work unit; 5.4 Execute route-specific units without collapsing inference boundaries,Design Gate,Claim Gate,"record versions and evidence locators, not secrets, personal data or proprietary payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
